Pays,Index
Afghanistan,0
Algeria,1
Angola,2
Argentina,3
Australia,4
Bangladesh,5
Belgium,6
Brazil,7
Canada,8
Chile,9
China,10
Colombia,11
Congo, Dem. Rep.',12
Denmark,13
Egypt, Arab Rep'.,14
Ethiopia,15
Finland,16
France,17
Greece,18
India,19
Indonesia,20
Iran, Islamic Rep.',21
Iraq,22
Italy,23
Japan,24
Kenya,25
Mexico,26
Mongolia,27
Nepal,28
New Zealand,29
Nigeria,30
Korea, Dem. Peopleâ€™s Rep'.,31
Norway,32
Pakistan,33
Peru,34
Philippines,35
Poland,36
Romania,37
Russian Federation,38
Saudi Arabia,39
South Africa,40
Korea, Rep.,41
Spain,42
Sweden,43
Tanzania,44
Thailand,45
Turkey,46
Uganda,47
United Kingdom,48
Vietnam,49
World,50
